version,1.6.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Bangladesh
info,gender,male
info,season,2012/13
info,date,2013/03/25
info,event,Bangladesh in Sri Lanka ODI Series
info,match_number,2
info,venue,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
info,city,Hambantota
info,toss_winner,Bangladesh
info,toss_decision,field
info,umpire,NJ Llong
info,umpire,TH Wijewardene
info,reserve_umpire,HMNC Dhanasinghe
info,tv_umpire,RSA Palliyaguruge
info,match_referee,DC Boon
info,outcome,no result
info,player,Bangladesh,Jahurul Islam
info,player,Bangladesh,Anamul Haque
info,player,Bangladesh,Mohammad Ashraful
info,player,Bangladesh,Mushfiqur Rahim
info,player,Bangladesh,Mahmudullah
info,player,Bangladesh,Nasir Hossain
info,player,Bangladesh,Ziaur Rahman
info,player,Bangladesh,Rubel Hossain
info,player,Bangladesh,Mominul Haque
info,player,Bangladesh,Sohag Gazi
info,player,Bangladesh,Abdur Razzak
info,player,Sri Lanka,MDKJ Perera
info,player,Sri Lanka,TM Dilshan
info,player,Sri Lanka,KC Sangakkara
info,player,Sri Lanka,LD Chandimal
info,player,Sri Lanka,HDRL Thirimanne
info,player,Sri Lanka,AD Mathews
info,player,Sri Lanka,BMAJ Mendis
info,player,Sri Lanka,NLTC Perera
info,player,Sri Lanka,KMDN Kulasekara
info,player,Sri Lanka,SMSM Senanayake
info,player,Sri Lanka,SL Malinga
info,registry,people,AD Mathews,896d78ad
info,registry,people,Abdur Razzak,888e32bf
info,registry,people,Anamul Haque,72b245dd
info,registry,people,BMAJ Mendis,9868bc75
info,registry,people,DC Boon,e79a1fe3
info,registry,people,HDRL Thirimanne,c5928dec
info,registry,people,HMNC Dhanasinghe,0302fea8
info,registry,people,Jahurul Islam,6752c57b
info,registry,people,KC Sangakkara,6b71e6cf
info,registry,people,KMDN Kulasekara,469ea22b
info,registry,people,LD Chandimal,8dd02a98
info,registry,people,MDKJ Perera,f21043a5
info,registry,people,Mahmudullah,bf1d7d3e
info,registry,people,Mohammad Ashraful,2bb09eb2
info,registry,people,Mominul Haque,de0a3209
info,registry,people,Mushfiqur Rahim,a94e08ea
info,registry,people,NJ Llong,573fb985
info,registry,people,NLTC Perera,0f12f9df
info,registry,people,Nasir Hossain,6eea0b32
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,Rubel Hossain,f56cd097
info,registry,people,SL Malinga,a12e1d51
info,registry,people,SMSM Senanayake,4c4fa80b
info,registry,people,Sohag Gazi,5a4c12ab
info,registry,people,TH Wijewardene,6a6be119
info,registry,people,TM Dilshan,5bdcdb72
info,registry,people,Ziaur Rahman,c27518d2
ball,1,0.1,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,0,0,,,,,,"",""
ball,1,0.2,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,1,0,,,,,,"",""
ball,1,0.3,Sri Lanka,TM Dilshan,MDKJ Perera,Rubel Hossain,4,0,,,,,,"",""
ball,1,0.4,Sri Lanka,TM Dilshan,MDKJ Perera,Rubel Hossain,0,0,,,,,,"",""
ball,1,0.5,Sri Lanka,TM Dilshan,MDKJ Perera,Rubel Hossain,3,0,,,,,,"",""
ball,1,0.6,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,1,0,,,,,,"",""
ball,1,1.1,Sri Lanka,MDKJ Perera,TM Dilshan,Ziaur Rahman,0,0,,,,,,"",""
ball,1,1.2,Sri Lanka,MDKJ Perera,TM Dilshan,Ziaur Rahman,0,1,1,,,,,"",""
ball,1,1.3,Sri Lanka,MDKJ Perera,TM Dilshan,Ziaur Rahman,0,0,,,,,,"",""
ball,1,1.4,Sri Lanka,MDKJ Perera,TM Dilshan,Ziaur Rahman,4,0,,,,,,"",""
ball,1,1.5,Sri Lanka,MDKJ Perera,TM Dilshan,Ziaur Rahman,0,0,,,,,,"",""
ball,1,1.6,Sri Lanka,MDKJ Perera,TM Dilshan,Ziaur Rahman,1,0,,,,,,"",""
ball,1,1.7,Sri Lanka,TM Dilshan,MDKJ Perera,Ziaur Rahman,0,0,,,,,,"",""
ball,1,2.1,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,4,0,,,,,,"",""
ball,1,2.2,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,0,0,,,,,,"",""
ball,1,2.3,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,2,0,,,,,,"",""
ball,1,2.4,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,0,0,,,,,,"",""
ball,1,2.5,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,0,0,,,,,,"",""
ball,1,2.6,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,0,0,,,,,,"",""
ball,1,3.1,Sri Lanka,TM Dilshan,MDKJ Perera,Ziaur Rahman,0,0,,,,,,"",""
ball,1,3.2,Sri Lanka,TM Dilshan,MDKJ Perera,Ziaur Rahman,1,0,,,,,,"",""
ball,1,3.3,Sri Lanka,MDKJ Perera,TM Dilshan,Ziaur Rahman,0,0,,,,,,"",""
ball,1,3.4,Sri Lanka,MDKJ Perera,TM Dilshan,Ziaur Rahman,1,0,,,,,,"",""
ball,1,3.5,Sri Lanka,TM Dilshan,MDKJ Perera,Ziaur Rahman,0,0,,,,,,"",""
ball,1,3.6,Sri Lanka,TM Dilshan,MDKJ Perera,Ziaur Rahman,1,0,,,,,,"",""
ball,1,4.1,Sri Lanka,TM Dilshan,MDKJ Perera,Rubel Hossain,1,0,,,,,,"",""
ball,1,4.2,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,0,4,,,,4,,"",""
ball,1,4.3,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,0,0,,,,,,"",""
ball,1,4.4,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,0,0,,,,,,"",""
ball,1,4.5,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,0,0,,,,,,"",""
ball,1,4.6,Sri Lanka,MDKJ Perera,TM Dilshan,Rubel Hossain,4,0,,,,,,"",""
